node,phase,phase_name,keywords
개인정보_수집,1,정찰/대상선정,개인정보|명단|인적사항|신상정보
대상_물색,1,정찰/대상선정,불특정다수|무작위로|물색
스미싱_미끼문자,2,접촉/유인,스미싱|문자메시지|미끼문자|택배문자
전화_접촉,2,접촉/유인,콜센터|발신번호|전화를걸|전화하여|인터넷전화|전화|통화
SNS채팅_유인,2,접촉/유인,카카오톡|텔레그램|오픈채팅|채팅방|인스타그램|페이스북|닉네임|메신저|단톡
광고게시_유인,2,접촉/유인,광고|게시글|게시물|홍보글
투자권유_유인,2,접촉/유인,리딩방|리딩|주식리딩|재테크|부업|고수익|투자권유|비상장주식|상장주식|선물거래
로맨스_접근,2,접촉/유인,로맨스|연인|호감|결혼|이성
기관사칭_검찰,3,신뢰구축/사칭,검사|검찰청|검찰수사관
기관사칭_경찰수사,3,신뢰구축/사칭,경찰관|경찰서|수사관|수사기관|형사|경찰
기관사칭_금감원,3,신뢰구축/사칭,금융감독원|감독원|금감원
사칭_금융기관,3,신뢰구축/사칭,은행직원|저축은행|금융기관|캐피탈|대출상담사
대출빙자,3,신뢰구축/사칭,대출|저금리|대환대출|기존대출|신용등급|정부지원대출
전문가상담원_사칭,3,신뢰구축/사칭,상담원|애널리스트|투자전문가
사칭_행세빙자,3,신뢰구축/사칭,사칭|행세|빙자|가장하
악성앱_설치,4,통제/지시,악성앱|악성프로그램|어플리케이션|어플설치|앱설치|프로그램설치|악성어플
원격제어,4,통제/지시,원격제어|원격조종|팀뷰어|애니데스크
가짜거래화면,4,통제/지시,가짜사이트|허위사이트|수익률|가짜거래|가상화폐|가상화페|투자수익|배이상
단톡방_지시,4,통제/지시,단톡방|지시에따라|지시를받|시키는대로|지시받
인증정보_탈취,4,통제/지시,인증번호|비밀번호|OTP|정보를입력|보안카드
미션수행_유도,4,통제/지시,미션|팀미션|실적|포인트충전|충전금
계좌이체_지시,5,자금이전,계좌이체|계좌로송금|지정계좌|송금하도록|이체하도록|입금하도록|송금하라|이체하라|내도록|송금할것|이체할것|보내라|송금하시오|입금하|이체하
가상자산_송금,5,자금이전,가상자산|암호화폐|가상화폐|지갑주소|USDT|테더|비트코인
현금_인출,5,자금이전,현금인출|인출하|출금|ATM
대면수거_편취,5,자금이전,수거책|현금수거|수거하|대면편취|직접만나
대포통장_경유,6,세탁/은닉,대포통장|대포계좌|접근매체|체크카드|통장양도|타인명의계좌
대포폰_유심,6,세탁/은닉,대포폰|유심|선불유심|중계기
가상자산_환전,6,세탁/은닉,환전|현금화|코인환전|거래소
해외송금_환치기,6,세탁/은닉,환치기|해외송금|외화|해외로송금
자금세탁_은닉,6,세탁/은닉,자금세탁|자금을세탁|세탁하여|은닉|세탁
계좌_대여개설,6,세탁/은닉,계좌개설|접근매체를대여|양도하
검거추적_회피,7,흔적제거,검거에대비|추적을회피|추적을피|증거인멸|도주
계정_폐기,7,흔적제거,탈퇴|채팅방폭파|대화내용을삭제
연락차단_잠적,7,흔적제거,잠적|연락을끊|연락을차단
